Comment,Designator,Footprint,LCSC Part #
0R,D1 D2 LED1 LED2 Q1 Q2 R2 R5 R7,R0402,C17168
1k5,R1,R0402,C25867
1uF,C6,C0402,C52923
10k,R4 R6,R0402,C25744
10uF,C1 C2,C0402,C15525
100R,R8 R9,R0402,C25076
100nF,C3 C4 C5 C7 C8 C9 C10 C12,C0402,C1525
10118193-0001LF,USB1,MICRO-USB5+6P-SMD-0.65-B,
AVX_009159010061916AVX_009159010061916_0_0,J3,AVX_009159010061916_0,
CJT1117-3.3-SOT223,U2,SOT-223,C6186
MOMENTARY-SWITCH-SPST-SMD-5.2-REDUNDANT,S1,TACTILE_SWITCH_SMD_5.2MM,C318884
STM32F103C8T6,U1,LQFP48-7X7MM,C94046
